#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
10.0,1,3.382922
-3.0,1,3.383198
-3.0,1,3.38346
5.0,1,3.388019
5.0,1,3.38862
10.0,1,3.388882
10.0,1,3.3891
-3.0,1,3.392409
10.0,1,3.39277
10.0,1,3.394971
-3.0,1,3.395394
10.0,1,3.401234
10.0,1,3.401601
5.0,1,3.401797
-3.0,1,3.402079
5.0,1,3.406194
10.0,1,3.406482
-3.0,1,3.406674
5.0,1,3.406852
-3.0,1,3.41113
-3.0,1,3.411721
10.0,1,3.412029
10.0,1,3.414952
10.0,1,3.421494
10.0,1,3.421994
-3.0,1,3.422306
-3.0,1,3.422594
10.0,1,3.426552
10.0,1,3.426918
10.0,1,3.430215
10.0,1,3.43073
-3.0,1,3.435753
5.0,1,3.436139
10.0,1,3.436959
10.0,1,3.437432
-3.0,1,3.441002
5.0,1,3.441371
5.0,1,3.441668
10.0,1,3.442424
10.0,1,3.448149
10.0,1,3.448573
10.0,1,3.449507
10.0,1,3.450329
-3.0,1,3.456006
-3.0,1,3.456398
10.0,1,3.456633
5.0,1,3.456844
10.0,1,3.459877
-3.0,1,3.46017
10.0,1,3.461784
10.0,1,3.462192
5.0,1,3.467076
10.0,1,3.467402
10.0,1,3.46802
10.0,1,3.468493
5.0,1,3.472976
10.0,1,3.473359
-3.0,1,3.473742
10.0,1,3.474187
-3.0,1,3.478953
10.0,1,3.481491
10.0,1,3.482394
10.0,1,3.482695
10.0,1,3.486358
-3.0,1,3.48669
10.0,1,3.487111
10.0,1,3.487896
10.0,1,3.491102
-3.0,1,3.491389
10.0,1,3.492651
10.0,1,3.49293
10.0,1,3.497763
5.0,1,3.498277
10.0,1,3.498786
10.0,1,3.499253
10.0,1,3.502536
10.0,1,3.50334
-3.0,1,3.503793
-3.0,1,3.50455
10.0,1,3.511402
10.0,1,3.51358
-3.0,1,3.51409
10.0,1,3.514548
10.0,1,3.519617
-3.0,1,3.520612
10.0,1,3.520935
-3.0,1,3.521148
10.0,1,3.524692
10.0,1,3.525524
-3.0,1,3.52701
-3.0,1,3.527281
5.0,1,3.531757
10.0,1,3.532287
10.0,1,3.533104
10.0,1,3.533329
10.0,1,3.536518
10.0,1,3.53759
-3.0,1,3.537879
10.0,1,3.538104
10.0,1,3.542964
10.0,1,3.543334
10.0,1,3.543649
-3.0,1,3.543884
-3.0,1,3.550675
-3.0,1,3.551038
-3.0,1,3.551394
-3.0,1,3.55159
10.0,1,3.556241
5.0,1,3.556567
10.0,1,3.55794
5.0,1,3.558285
-3.0,1,3.562483
10.0,1,3.563734
-3.0,1,3.564263
10.0,1,3.564533
-3.0,1,3.56856
5.0,1,3.568908
10.0,1,3.569191
10.0,1,3.570739
-3.0,1,3.575373
-3.0,1,3.575634
-3.0,1,3.575834
-3.0,1,3.576015
-3.0,1,3.581926
10.0,1,3.582239
10.0,1,3.582515
-3.0,1,3.582735
10.0,1,3.587008
10.0,1,3.587558
10.0,1,3.589052
10.0,1,3.589792
-3.0,1,3.593038
10.0,1,3.593338
10.0,1,3.593557
10.0,1,3.593763
-3.0,1,3.599225
5.0,1,3.599614
10.0,1,3.599961
10.0,1,3.600898
10.0,1,3.607241
10.0,1,3.607623
10.0,1,3.607913
10.0,1,3.608161
10.0,1,3.613866
10.0,1,3.614387
10.0,1,3.614728
10.0,1,3.615022
-3.0,1,3.619284
10.0,1,3.620275
-3.0,1,3.622076
5.0,1,3.622361
-3.0,1,3.625037
10.0,1,3.625312
10.0,1,3.625928
10.0,1,3.626176
10.0,1,3.631668
10.0,1,3.632691
10.0,1,3.633062
5.0,1,3.633525
10.0,1,3.638626
-3.0,1,3.638995
-3.0,1,3.639287
10.0,1,3.639562
10.0,1,3.643805
-3.0,1,3.644166
10.0,1,3.644458
10.0,1,3.644742
10.0,1,3.651635
10.0,1,3.652024
-3.0,1,3.653519
-3.0,1,3.654118
-3.0,1,3.657213
10.0,1,3.657981
10.0,1,3.658762
5.0,1,3.659074
5.0,1,3.664616
10.0,1,3.665122
10.0,1,3.665537
10.0,1,3.666652
10.0,1,3.672122
